Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
83,146.115,146.725,1.130,1.170,106.19,102.56,66.81,63.25,33.19,36.75,7.95,6.76,57.62,64.19,34.44,29.05,22.82,22.82,1.026,1.184,0.991,0.922,349.2,373.9,3.220,3.287,1.0,2.3,22.42,29.35,-62.68,-64.27,0.035,-0.085,108.90,107.53,0.307,0.298,0.074,0.058,0.025,0.035,0.135,0.178
84,147.320,147.905,1.205,1.180,99.59,101.69,58.51,62.71,41.49,37.29,7.80,11.49,66.67,57.43,25.53,31.08,27.80,27.80,1.110,1.174,0.866,1.002,353.2,393.4,3.329,3.107,1.6,3.2,31.58,36.38,-64.83,-69.35,-0.022,-0.071,118.95,110.79,0.327,0.304,0.086,0.055,0.019,0.052,0.165,0.254
85,148.525,149.140,1.205,1.235,99.59,97.17,64.32,64.78,35.68,35.22,6.45,7.50,60.00,64.38,33.55,28.12,26.97,26.97,1.222,1.053,1.149,0.980,321.6,364.5,3.231,2.857,-1.3,-0.8,28.10,35.18,-63.66,-67.41,0.086,-0.045,108.82,113.43,0.287,0.270,0.052,0.030,0.027,0.029,0.173,0.225
86,149.730,150.390,1.205,1.250,99.59,96.00,63.07,61.20,36.93,38.80,7.89,11.11,59.21,60.78,32.89,28.10,24.80,24.80,1.353,1.220,1.022,0.950,404.0,458.6,3.367,3.316,-0.3,0.4,42.59,47.93,-67.25,-69.74,0.044,-0.057,106.63,114.15,0.337,0.298,0.095,0.050,0.079,0.050,0.264,0.328
87,151.000,151.590,1.270,1.200,94.49,100.00,62.99,64.17,37.01,35.83,13.75,11.04,57.50,61.04,28.75,27.92,27.39,27.39,1.194,1.057,1.033,0.959,403.6,549.3,3.095,,-0.8,1.2,45.36,47.58,-60.59,-65.78,-0.033,-0.027,112.94,113.97,0.264,0.266,0.060,,0.059,,0.266,
88,152.205,152.835,1.205,1.245,99.59,96.39,63.07,61.85,36.93,38.15,10.53,12.34,54.61,59.09,34.87,28.57,26.80,26.80,1.146,1.192,1.008,1.010,363.3,383.1,3.087,,1.0,-1.8,40.53,40.17,-62.74,-58.99,0.027,-0.064,109.24,111.82,0.271,0.266,0.053,,0.050,,0.245,
89,153.455,154.015,1.250,1.180,96.00,101.69,64.80,63.14,35.20,36.86,13.58,12.75,59.26,58.39,27.16,28.86,23.58,23.58,1.063,1.197,0.798,0.965,447.0,433.3,2.963,,1.8,1.8,42.80,46.24,-64.14,-62.75,0.013,-0.054,108.54,112.07,0.296,0.283,0.065,,0.064,,0.240,
90,154.685,155.345,1.230,1.330,97.56,90.23,58.94,62.03,41.06,37.97,8.28,10.91,59.31,61.82,32.41,27.27,19.92,19.92,1.255,1.247,1.037,0.974,312.8,389.3,2.965,,-1.1,6.4,42.36,48.62,-59.75,-64.51,0.066,-0.056,110.25,116.76,0.276,0.284,0.072,,0.069,,0.275,
91,155.965,156.615,1.280,1.270,93.75,94.49,59.38,61.42,40.62,38.58,13.82,10.26,60.53,58.97,25.66,30.77,22.75,22.75,1.077,1.299,0.924,1.096,434.2,477.7,,,-1.0,-2.4,43.62,48.37,-68.05,-64.72,0.044,-0.049,119.21,107.91,0.285,0.254,,,,,,
92,157.240,157.840,1.275,1.225,94.12,97.96,61.18,64.49,38.82,35.51,10.90,9.49,64.74,63.29,24.36,27.22,27.85,27.85,1.084,1.257,0.978,1.107,369.2,541.9,2.971,,3.4,-1.3,40.70,47.99,-62.44,-68.22,0.033,-0.054,114.13,109.40,0.307,0.265,0.093,,0.082,,0.259,
