Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
69,125.975,125.360,1.230,1.210,97.56,99.17,66.26,64.88,33.74,35.12,9.20,8.92,65.64,60.51,25.15,30.57,32.64,32.64,1.162,1.074,0.948,0.910,350.2,375.0,3.453,3.227,-0.2,2.4,24.04,30.36,-64.57,-64.07,0.026,-0.072,107.51,111.32,0.314,0.318,0.067,0.061,0.036,0.029,0.209,0.210
70,127.155,126.555,1.180,1.195,101.69,100.42,63.14,67.36,36.86,32.64,10.74,11.80,62.42,60.25,26.85,27.95,28.99,28.99,1.039,0.948,0.938,0.904,341.5,373.3,3.235,3.244,-2.1,3.7,24.16,22.66,-62.27,-65.51,0.051,0.102,110.54,120.82,0.284,0.309,0.039,0.050,0.007,0.032,0.188,0.171
71,128.370,127.745,1.215,1.190,98.77,100.84,65.43,65.55,34.57,34.45,9.43,8.33,64.78,61.54,25.79,30.13,31.35,31.35,1.051,0.978,0.897,0.946,340.2,361.8,3.289,3.121,-2.1,-2.2,24.26,27.50,-62.87,-66.50,0.030,0.072,110.31,117.64,0.294,0.292,0.049,0.030,0.015,0.016,0.192,0.197
72,129.610,129.005,1.240,1.260,96.77,95.24,67.74,64.68,32.26,35.32,8.93,11.66,62.50,61.96,28.57,26.38,31.98,31.98,1.052,1.052,0.866,0.914,386.1,367.4,3.366,3.106,0.2,-1.9,24.07,28.15,-70.10,-63.85,0.018,0.056,108.83,112.50,0.299,0.283,0.030,0.033,,0.008,0.169,0.189
73,130.860,130.240,1.250,1.235,96.00,97.17,65.20,64.37,34.80,35.63,10.43,6.92,65.03,64.78,24.54,28.30,30.04,30.04,1.073,1.121,0.911,0.931,336.6,340.3,3.187,3.292,2.4,-0.2,24.33,25.78,-59.99,-62.97,0.022,-0.022,106.65,107.31,0.273,0.296,0.039,0.047,0.003,0.016,0.176,0.187
74,132.060,131.455,1.200,1.215,100.00,98.77,65.42,65.84,34.58,34.16,9.55,10.62,64.33,60.62,26.11,28.75,30.17,30.17,1.058,1.102,0.925,0.920,359.6,337.5,3.405,3.296,-0.8,1.8,23.72,25.99,-65.31,-64.36,0.031,0.068,110.25,110.26,0.302,0.312,0.049,0.053,,0.015,0.166,0.166
75,133.285,132.665,1.225,1.210,97.96,99.17,65.31,64.46,34.69,35.54,10.00,9.62,61.88,62.18,28.12,28.21,31.38,31.38,1.144,1.060,0.931,0.908,349.8,361.1,3.393,3.339,3.7,0.5,25.91,29.71,-70.83,-64.82,0.043,0.019,106.58,114.35,0.325,0.315,0.057,0.058,0.007,0.029,0.189,0.211
76,134.475,133.860,1.190,1.195,100.84,100.42,63.87,66.95,36.13,33.05,11.18,11.25,60.53,60.62,28.29,28.12,29.55,29.55,1.098,1.016,0.960,0.930,355.5,377.2,3.393,3.289,-3.8,3.4,26.22,30.16,-68.37,-67.90,0.078,-0.011,111.47,116.04,0.317,0.319,0.055,0.053,0.016,0.042,0.219,0.232
77,135.690,135.095,1.215,1.235,98.77,97.17,66.67,64.37,33.33,35.63,13.58,11.32,60.49,61.01,25.93,27.67,31.28,31.28,1.119,1.080,0.941,0.933,372.3,351.3,3.544,3.279,0.1,-3.8,26.72,28.69,-68.41,-64.05,0.036,0.021,108.31,111.38,0.323,0.302,0.058,0.045,0.017,0.019,0.209,0.199
78,136.940,136.310,1.250,1.215,96.00,98.77,65.60,64.61,34.40,35.39,11.59,8.28,60.98,62.42,27.44,29.30,31.71,31.71,1.158,1.169,0.968,0.974,340.0,360.3,3.472,3.405,3.3,4.0,23.86,30.40,-64.72,-67.26,0.031,-0.062,108.24,108.69,0.323,0.319,0.071,0.052,0.030,0.031,0.197,0.219
