Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
71,111.460,110.850,1.185,1.185,101.27,101.27,64.56,65.82,35.44,34.18,12.42,10.90,57.52,60.90,30.07,28.21,30.54,30.54,0.908,1.061,0.860,0.874,384.5,357.7,2.986,3.293,4.0,-0.5,25.46,25.57,-67.45,-61.24,-0.021,-0.018,116.91,111.02,0.291,0.314,0.038,0.068,0.024,0.017,0.199,0.172
72,112.660,112.045,1.200,1.195,100.00,100.42,64.58,65.69,35.42,34.31,10.97,10.19,57.42,62.42,31.61,27.39,30.36,30.36,1.006,1.058,0.853,0.929,383.7,355.3,3.237,3.302,-7.7,0.1,22.33,27.42,-68.54,-61.87,0.028,-0.030,110.84,110.16,0.311,0.304,0.051,0.059,0.019,0.029,0.170,0.216
73,113.865,113.280,1.205,1.235,99.59,97.17,67.22,64.78,32.78,35.22,9.26,11.25,58.64,61.25,32.10,27.50,28.94,28.94,1.023,1.015,0.897,0.864,413.3,342.4,3.401,3.108,2.9,-1.5,24.76,29.60,-71.87,-56.26,0.024,-0.051,108.88,112.79,0.318,0.284,0.053,0.055,0.020,0.031,0.174,0.222
74,115.075,114.455,1.210,1.175,99.17,102.13,66.12,62.55,33.88,37.45,10.62,10.88,57.50,61.22,31.88,27.89,30.38,30.38,1.057,1.078,0.921,0.957,391.1,347.9,3.402,3.159,1.2,7.1,25.11,30.97,-69.20,-57.04,0.021,-0.064,108.86,110.09,0.295,0.262,0.035,0.028,0.001,0.009,0.164,0.219
75,116.250,115.640,1.175,1.185,102.13,101.27,63.83,64.98,36.17,35.02,11.33,12.99,58.00,59.09,30.67,27.92,28.15,28.15,1.091,0.960,0.935,0.902,380.7,382.9,3.341,3.193,-1.9,-1.7,24.29,31.92,-69.59,-61.42,0.033,-0.059,107.35,120.45,0.310,0.305,0.046,0.057,0.021,0.040,0.174,0.237
76,117.425,116.830,1.175,1.190,102.13,100.84,64.68,63.87,35.32,36.13,9.21,13.16,59.87,59.87,30.92,26.97,28.22,28.22,1.088,0.968,0.925,0.876,386.4,299.5,3.393,3.010,1.5,-0.4,24.58,25.31,-68.96,-52.70,0.019,-0.026,108.04,113.07,0.304,0.270,0.042,0.053,0.019,0.030,0.186,0.188
77,118.620,118.035,1.195,1.205,100.42,99.59,66.95,62.66,33.05,37.34,10.00,9.27,58.12,64.24,31.88,26.49,28.63,28.63,1.037,0.913,0.913,0.830,408.5,335.2,3.438,2.923,-1.3,-0.7,25.88,29.85,-69.75,-57.14,0.043,-0.041,111.26,116.65,0.293,0.266,0.034,0.034,0.011,0.002,0.185,0.191
78,119.850,119.240,1.230,1.205,97.56,99.59,67.48,61.41,32.52,38.59,14.46,11.49,54.82,61.49,30.72,27.03,31.56,31.56,0.978,0.929,0.829,0.824,390.4,282.3,3.204,2.716,2.2,-3.5,27.50,26.38,-66.33,-50.04,0.039,-0.022,111.99,115.00,0.302,0.239,0.044,0.032,0.021,0.018,0.182,0.218
79,121.045,120.460,1.195,1.220,100.42,98.36,67.36,64.34,32.64,35.66,6.21,12.10,63.35,59.87,30.43,28.03,30.17,30.17,1.153,1.095,0.997,0.931,404.1,305.7,3.470,3.177,1.3,3.3,26.46,25.80,-70.76,-60.51,-0.025,-0.022,107.47,110.60,0.305,0.311,0.041,0.067,0.027,0.035,0.215,0.201
80,122.220,121.620,1.175,1.160,102.13,103.45,65.96,63.79,34.04,36.21,11.61,10.14,57.42,62.16,30.97,27.70,31.22,31.22,1.071,0.996,0.932,0.905,408.6,347.6,3.385,3.117,-2.2,1.6,24.60,26.41,-67.81,-60.07,0.024,0.015,107.28,111.31,0.298,0.271,0.042,0.030,0.023,,0.187,0.167
81,123.425,122.805,1.205,1.185,99.59,101.27,65.98,64.98,34.02,35.02,10.06,12.34,57.86,60.39,32.08,27.27,31.12,31.12,0.980,1.049,0.861,0.923,395.1,339.2,3.263,3.387,1.2,0.7,25.68,28.65,-71.39,-60.57,0.018,-0.082,113.03,117.48,0.289,0.322,0.021,0.078,,0.050,0.174,0.229
