Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
51,103.690,104.290,1.370,1.210,87.59,99.17,65.33,63.22,34.67,36.78,11.17,13.73,55.87,55.56,32.96,30.72,26.27,26.27,1.366,1.031,1.047,0.911,363.4,367.0,3.393,3.096,-1.8,0.6,23.15,23.15,-79.06,-72.31,0.064,-0.046,105.14,110.65,0.265,0.259,0.051,0.052,0.030,0.033,0.148,0.133
52,104.870,105.475,1.180,1.185,101.69,101.27,63.98,64.56,36.02,35.44,9.93,9.15,60.26,58.82,29.80,32.03,30.83,30.83,1.089,1.166,0.894,0.958,355.5,361.5,3.122,3.152,3.5,2.7,23.60,23.99,-68.69,-70.38,0.036,-0.043,109.19,107.44,0.258,0.273,0.062,0.069,0.035,0.045,0.160,0.140
53,106.135,106.765,1.265,1.290,94.86,93.02,64.03,63.57,35.97,36.43,15.43,14.02,55.56,58.54,29.01,27.44,27.09,27.09,1.135,1.250,0.952,1.006,356.3,358.2,3.092,3.299,-5.1,-0.7,21.50,23.70,-71.16,-70.55,0.068,-0.051,106.99,104.53,0.261,0.271,0.059,0.064,0.035,0.041,0.142,0.134
54,107.390,108.000,1.255,1.235,95.62,97.17,64.54,57.89,35.46,42.11,9.88,11.89,59.26,63.64,30.86,24.48,20.56,20.56,1.180,1.091,0.959,0.916,374.1,344.4,3.178,3.078,2.5,1.7,24.03,25.19,-78.13,-69.37,0.051,-0.058,105.62,109.97,0.278,0.265,0.063,0.062,0.040,0.041,0.149,0.153
55,108.630,109.235,1.240,1.235,96.77,97.17,62.50,63.16,37.50,36.84,9.68,10.26,61.29,57.69,29.03,32.05,26.02,26.02,1.115,1.126,0.933,0.926,416.0,344.8,3.115,3.122,-1.7,-0.8,24.36,24.33,-75.14,-71.77,0.083,-0.063,109.24,108.07,0.268,0.268,0.058,0.063,0.039,0.046,0.160,0.145
56,109.860,110.455,1.230,1.220,97.56,98.36,63.01,62.70,36.99,37.30,10.32,11.76,59.35,59.48,30.32,28.76,25.75,25.75,1.228,1.092,1.003,0.915,378.0,339.1,3.363,3.011,3.4,1.7,23.57,24.32,-73.09,-67.92,0.022,-0.019,105.18,107.59,0.250,0.274,0.044,0.074,0.026,0.047,0.157,0.148
57,111.025,111.635,1.165,1.180,103.00,101.69,64.81,64.41,35.19,35.59,9.93,9.87,61.59,60.53,28.48,29.61,30.49,30.49,1.250,1.174,1.062,0.996,378.6,342.1,3.418,3.272,-1.3,-2.4,26.18,24.48,-73.21,-69.49,0.050,-0.039,105.21,105.12,0.262,0.264,0.058,0.060,0.041,0.036,0.164,0.128
58,112.255,112.850,1.230,1.215,97.56,98.77,64.63,62.96,35.37,37.04,15.09,13.07,54.72,57.52,30.19,29.41,25.42,25.42,1.162,1.148,1.004,0.973,396.1,357.5,3.276,3.220,-1.5,2.4,22.49,24.08,-77.96,-73.07,0.060,-0.042,106.27,106.82,0.267,0.277,0.055,0.067,0.032,0.038,0.149,0.134
59,113.455,114.095,1.200,1.245,100.00,96.39,62.92,60.24,37.08,39.76,9.27,8.67,57.62,60.00,33.11,31.33,24.61,24.61,1.196,1.244,0.971,0.999,386.0,354.5,3.268,3.245,0.8,0.2,24.34,24.97,-77.46,-70.70,0.036,-0.014,105.17,105.22,0.264,0.268,0.053,0.061,0.034,0.036,0.158,0.142
60,114.735,115.305,1.280,1.210,93.75,99.17,63.28,64.05,36.72,35.95,8.64,11.61,59.88,55.48,31.48,32.90,25.52,25.52,1.176,1.174,0.950,0.973,411.1,347.8,3.083,3.193,-2.0,-1.9,20.45,25.00,-77.89,-76.52,0.033,-0.033,106.23,106.41,0.252,0.252,0.038,0.039,0.026,0.021,0.134,0.148
61,115.930,116.555,1.195,1.250,100.42,96.00,61.92,61.20,38.08,38.80,7.43,10.46,59.46,58.82,33.11,30.72,25.51,25.51,1.190,1.209,0.995,0.989,355.7,375.4,3.291,3.250,0.3,2.5,23.66,23.85,-74.34,-72.90,0.022,-0.030,106.81,106.31,0.253,0.291,0.045,0.081,0.027,0.050,0.152,0.139
