Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
20,87.575,88.185,1.245,1.280,96.39,93.75,63.45,64.84,36.55,35.16,8.23,13.25,61.39,59.64,30.38,27.11,27.71,27.71,1.102,1.113,0.887,0.893,382.1,337.9,3.124,3.040,-0.1,1.5,22.01,21.18,-70.60,-68.59,0.013,-0.023,107.42,105.73,0.268,0.249,0.063,0.058,0.035,0.033,0.117,0.150
21,88.820,89.405,1.245,1.220,96.39,98.36,63.86,65.98,36.14,34.02,7.55,8.70,62.89,62.11,29.56,29.19,29.84,29.84,1.094,1.134,0.883,0.900,369.6,316.6,3.038,2.979,2.6,1.5,21.53,24.42,-71.58,-68.56,-0.017,-0.016,105.78,105.65,0.269,0.241,0.062,0.047,0.038,0.021,0.118,0.152
22,90.060,90.650,1.240,1.245,96.77,96.39,63.31,66.67,36.69,33.33,8.92,15.06,61.78,59.04,29.30,25.90,24.29,24.29,1.058,1.060,0.903,0.883,359.8,321.0,3.076,2.939,-2.0,-1.3,22.34,22.83,-70.61,-66.50,0.042,-0.019,107.64,107.17,0.260,0.254,0.055,0.064,0.027,0.034,0.115,0.145
23,91.295,91.930,1.235,1.280,97.17,93.75,57.89,64.45,42.11,35.55,9.09,12.73,67.13,60.61,23.78,26.67,28.74,28.74,1.154,1.127,0.911,0.893,395.5,313.2,3.213,3.090,-2.4,3.7,23.71,21.03,-72.84,-69.26,0.048,-0.024,107.94,105.06,0.267,0.256,0.060,0.061,0.039,0.034,0.132,0.143
24,92.530,93.140,1.235,1.210,97.17,99.17,65.59,65.70,34.41,34.30,9.26,11.32,60.49,59.12,30.25,29.56,32.03,32.03,1.179,1.141,0.951,0.927,377.6,342.5,3.179,3.173,0.9,-1.0,22.95,22.38,-74.20,-71.47,0.014,-0.026,104.80,106.40,0.268,0.267,0.059,0.068,0.039,0.042,0.123,0.163
25,93.810,94.415,1.280,1.275,93.75,94.12,64.45,60.78,35.55,39.22,12.12,15.48,58.79,62.58,29.09,21.94,23.08,23.08,1.262,1.116,1.022,0.929,370.2,352.7,3.257,3.120,-0.5,-1.6,21.66,22.33,-73.25,-70.38,0.047,-0.020,104.05,105.55,0.275,0.276,0.065,0.076,0.036,0.045,0.115,0.153
26,95.045,95.650,1.235,1.235,97.17,97.17,63.56,63.97,36.44,36.03,8.92,10.76,59.87,60.13,31.21,29.11,26.45,26.45,1.091,1.074,0.918,0.872,358.0,326.9,3.064,3.071,0.7,3.5,21.84,21.47,-73.34,-69.67,-0.019,-0.026,106.07,106.21,0.263,0.265,0.053,0.069,0.025,0.034,0.112,0.135
27,96.255,96.830,1.210,1.180,99.17,101.69,63.22,66.10,36.78,33.90,8.50,8.97,60.78,62.82,30.72,28.21,31.97,31.97,1.168,1.171,0.951,0.969,391.6,330.4,3.305,3.225,-1.9,-1.3,22.69,22.19,-72.44,-69.91,0.038,-0.028,105.20,104.80,0.275,0.258,0.067,0.061,0.039,0.036,0.124,0.148
28,97.475,98.095,1.220,1.265,98.36,94.86,64.75,65.61,35.25,34.39,9.49,12.05,61.39,59.64,29.11,28.31,28.28,28.28,1.253,1.019,1.045,0.845,387.0,357.7,3.388,2.938,-0.8,0.4,19.12,23.05,-73.42,-71.42,0.032,-0.030,102.62,107.85,0.266,0.274,0.056,0.072,0.021,0.044,0.093,0.148
29,98.695,99.265,1.220,1.170,98.36,102.56,63.93,65.38,36.07,34.62,8.33,9.80,60.90,60.78,30.77,29.41,25.71,25.71,1.122,1.123,0.920,0.933,379.2,347.1,3.123,3.076,0.7,-1.5,21.93,22.01,-75.43,-67.40,0.027,-0.040,106.57,105.69,0.274,0.261,0.065,0.072,0.039,0.045,0.118,0.152
