Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
49,103.010,102.405,1.200,1.230,100.00,97.56,63.33,66.67,36.67,33.33,21.05,9.15,47.37,58.54,31.58,32.32,29.39,29.39,1.117,1.288,0.992,1.087,386.3,375.7,3.295,3.551,-0.1,1.4,29.39,30.69,-75.02,-75.47,0.063,-0.075,112.31,107.82,0.338,0.356,0.060,0.073,0.020,0.023,0.216,0.196
50,104.260,103.630,1.250,1.225,96.00,97.96,64.00,65.31,36.00,34.69,16.88,13.12,53.75,58.12,29.38,28.75,30.80,30.80,1.068,1.106,0.929,0.924,371.3,359.8,3.207,3.309,-0.3,1.3,27.94,30.69,-74.81,-69.63,0.048,-0.106,113.68,113.13,0.339,0.316,0.061,0.049,0.020,0.025,0.203,0.220
51,105.495,104.880,1.235,1.250,97.17,96.00,64.78,66.80,35.22,33.20,14.38,13.17,57.50,58.08,28.12,28.74,31.28,31.28,1.115,1.186,0.933,0.997,351.7,372.8,3.318,3.409,0.4,4.5,26.93,28.60,-69.68,-69.29,0.031,-0.012,107.63,106.46,0.316,0.329,0.047,0.059,0.015,0.038,0.188,0.212
52,106.715,106.095,1.220,1.215,98.36,98.77,63.11,67.08,36.89,32.92,13.64,10.43,55.19,61.35,31.17,28.22,28.23,28.23,1.139,1.085,0.975,0.917,368.0,398.7,3.294,3.384,-1.8,-2.1,27.00,31.29,-71.40,-67.86,0.036,0.038,109.11,111.00,0.320,0.304,0.051,0.040,0.016,0.033,0.194,0.234
53,107.955,107.335,1.240,1.240,96.77,96.77,66.53,64.52,33.47,35.48,13.94,13.75,55.76,56.25,30.30,30.00,23.02,23.02,1.134,1.091,0.923,0.915,384.2,321.5,3.417,3.065,2.1,-3.2,29.37,29.46,-68.53,-67.31,0.043,-0.096,107.46,114.82,0.325,0.331,0.057,0.069,0.016,0.060,0.195,0.246
54,109.210,108.595,1.255,1.260,95.62,95.24,65.74,55.95,34.26,44.05,15.76,12.77,55.15,68.09,29.09,19.15,30.99,30.99,1.162,1.220,0.940,0.987,377.5,432.7,3.419,,-1.7,0.0,28.58,28.81,-71.77,-81.01,0.036,-0.049,107.38,107.30,0.297,0.360,0.024,,,,0.192,
55,110.430,109.805,1.220,1.210,98.36,99.17,64.75,66.53,35.25,33.47,8.86,13.04,60.76,57.76,30.38,29.19,30.80,30.80,1.081,1.084,0.973,0.938,378.1,395.4,3.301,3.444,2.0,3.0,27.42,29.81,-71.30,-69.96,0.068,0.021,111.80,113.21,0.311,0.322,0.038,0.052,0.001,0.028,0.181,0.214
56,111.680,111.055,1.250,1.250,96.00,96.00,65.20,65.20,34.80,34.80,11.04,12.27,58.90,60.74,30.06,26.99,30.40,30.40,1.111,0.998,0.937,0.888,365.7,338.5,3.358,3.082,-1.4,0.2,25.36,28.57,-71.80,-69.02,-0.017,-0.027,110.28,116.30,0.344,0.293,0.070,0.030,0.027,0.016,0.187,0.219
57,112.915,112.305,1.235,1.250,97.17,96.00,64.78,65.20,35.22,34.80,11.88,11.04,60.00,60.74,28.12,28.22,30.45,30.45,1.042,1.183,0.884,0.961,373.4,329.7,3.276,3.277,1.7,-2.3,28.74,27.02,-68.35,-66.28,0.049,-0.072,112.88,107.66,0.319,0.303,0.053,0.047,0.020,0.027,0.202,0.206
58,114.120,113.520,1.205,1.215,99.59,98.77,63.49,66.26,36.51,33.74,15.69,9.32,54.25,61.49,30.07,29.19,27.94,27.94,1.065,1.181,0.949,1.044,370.3,342.5,3.366,3.360,-0.9,2.6,25.59,27.29,-69.76,-67.81,0.019,-0.035,110.88,109.44,0.317,0.334,0.048,0.066,0.012,0.052,0.179,0.207
59,115.345,114.755,1.225,1.235,97.96,97.17,64.90,63.56,35.10,36.44,11.95,10.19,58.49,59.87,29.56,29.94,29.39,29.39,1.062,1.243,0.896,1.033,376.5,341.5,3.219,3.456,0.5,-0.6,24.32,27.59,-72.80,-65.32,0.024,0.035,109.02,105.53,0.326,0.280,0.051,0.026,0.013,0.000,0.180,0.191
60,116.605,115.980,1.260,1.225,95.24,97.96,65.87,64.49,34.13,35.51,9.04,8.86,62.05,62.66,28.92,28.48,30.28,30.28,1.152,0.976,0.920,0.835,388.3,344.5,3.529,3.154,-0.7,-1.4,27.00,27.26,-71.75,-65.68,0.038,-0.020,106.49,120.09,0.323,0.317,0.049,0.059,0.005,0.034,0.182,0.202
61,117.870,117.235,1.265,1.255,94.86,95.62,64.82,64.54,35.18,35.46,13.41,11.73,58.54,60.49,28.05,27.78,29.27,29.27,1.054,1.068,0.926,0.960,364.4,355.7,3.296,3.121,2.6,3.5,28.38,28.61,-66.95,-64.45,0.035,-0.049,114.02,114.24,0.314,0.289,0.053,0.036,0.018,0.010,0.191,0.195
62,119.085,118.465,1.215,1.230,98.77,97.56,64.20,65.45,35.80,34.55,11.54,11.18,58.33,60.25,30.13,28.57,29.48,29.48,1.139,0.956,0.983,0.894,371.2,368.0,3.416,3.225,-1.1,0.9,26.33,31.56,-72.31,-67.44,0.030,-0.084,108.53,129.46,0.333,0.338,0.060,0.078,0.021,0.063,0.196,0.261
63,120.345,119.720,1.260,1.255,95.24,95.62,66.27,64.14,33.73,35.86,10.78,13.04,59.88,57.76,29.34,29.19,30.74,30.74,1.093,1.092,0.901,0.939,383.4,342.2,3.426,3.247,0.5,-1.7,28.82,29.06,-71.87,-66.56,0.036,-0.085,110.64,120.38,0.325,0.345,0.050,0.093,0.008,0.078,0.200,0.268
64,121.575,120.940,1.230,1.220,97.56,98.36,64.63,65.57,35.37,34.43,10.06,13.12,61.01,57.50,28.93,29.38,30.95,30.95,1.076,1.234,0.895,1.070,363.7,368.4,3.198,3.532,0.4,2.4,25.26,28.73,-71.24,-69.75,0.013,-0.019,106.68,106.10,0.307,0.328,0.035,0.062,,0.036,0.167,0.224
65,122.820,122.200,1.245,1.260,96.39,95.24,64.26,65.48,35.74,34.52,13.12,13.33,58.12,60.00,28.75,26.67,29.32,29.32,1.205,0.974,0.978,0.814,383.5,375.8,3.515,3.291,-0.5,0.0,28.57,31.97,-74.10,-64.82,0.047,-0.037,107.98,123.80,0.340,0.338,0.062,0.083,0.016,0.062,0.195,0.249
66,124.045,123.445,1.225,1.245,97.96,96.39,65.71,65.06,34.29,34.94,15.53,13.58,55.90,56.79,28.57,29.63,29.96,29.96,1.141,1.170,0.999,1.008,372.4,344.8,3.460,3.207,0.8,-0.1,26.63,30.40,-71.66,-68.39,0.041,-0.056,107.54,108.76,0.319,0.306,0.045,0.044,0.013,0.033,0.183,0.238
67,125.320,124.680,1.275,1.235,94.12,97.17,65.10,63.97,34.90,36.03,9.64,13.29,62.05,57.59,28.31,29.11,29.18,29.18,1.204,1.157,0.929,0.975,365.4,341.9,3.452,3.283,-0.5,-0.4,31.52,29.95,-71.92,-64.22,0.041,-0.054,108.02,111.46,0.317,0.328,0.042,0.075,0.004,0.052,0.216,0.236
68,126.575,125.965,1.255,1.285,95.62,93.39,66.14,63.81,33.86,36.19,15.06,13.41,56.02,58.54,28.92,28.05,29.32,29.32,1.199,1.059,1.006,0.873,391.0,343.7,3.591,3.119,-3.1,-0.3,27.24,26.93,-70.15,-69.20,0.021,0.014,104.71,111.79,0.309,0.309,0.041,0.046,0.008,0.004,0.188,0.191
69,127.820,127.210,1.245,1.245,96.39,96.39,66.67,63.45,33.33,36.55,9.64,6.33,62.65,65.19,27.71,28.48,29.15,29.15,1.113,1.032,0.911,0.892,387.3,344.0,3.494,3.107,0.9,1.0,27.84,27.73,-70.14,-65.86,0.032,-0.036,109.26,115.94,0.314,0.307,0.045,0.052,0.013,0.015,0.193,0.186
70,129.045,128.445,1.225,1.235,97.96,97.17,66.53,62.75,33.47,37.25,9.82,14.84,59.51,56.77,30.67,28.39,31.28,31.28,0.921,1.177,0.844,0.970,401.5,334.6,3.318,3.307,0.8,-1.0,28.69,29.82,-70.54,-63.28,0.026,-0.094,121.90,120.93,0.321,0.370,0.049,0.120,0.013,0.089,0.194,0.261
71,130.285,129.660,1.240,1.215,96.77,98.77,65.73,65.02,34.27,34.98,10.43,11.39,59.51,59.49,30.06,29.11,31.17,31.17,1.033,1.120,0.926,0.996,361.3,348.8,3.234,3.326,-0.1,2.7,23.90,27.51,-70.26,-68.83,0.039,-0.046,110.28,106.77,0.309,0.298,0.040,0.030,0.004,0.001,0.170,0.192
72,131.510,130.895,1.225,1.235,97.96,97.17,64.90,65.59,35.10,34.41,10.69,10.49,59.12,61.73,30.19,27.78,30.45,30.45,1.191,1.018,0.980,0.888,387.2,364.9,3.542,3.235,3.4,1.8,27.08,33.15,-74.56,-65.59,0.077,-0.030,110.34,115.83,0.344,0.298,0.066,0.041,0.017,0.030,0.191,0.238
73,132.745,132.110,1.235,1.215,97.17,98.77,64.78,65.84,35.22,34.16,13.75,11.88,56.25,59.38,30.00,28.75,30.92,30.92,1.096,0.931,0.995,0.859,368.7,368.9,3.320,3.095,-0.5,1.9,23.76,28.80,-69.93,-67.86,0.048,-0.041,108.94,121.79,0.307,0.309,0.038,0.046,,0.022,0.160,0.208
74,133.975,133.355,1.230,1.245,97.56,96.39,65.45,65.86,34.55,34.14,6.21,14.02,65.22,58.54,28.57,27.44,29.51,29.51,1.058,1.062,0.904,0.924,383.1,385.0,3.381,3.361,2.1,1.3,27.29,28.79,-72.95,-64.22,0.051,-0.061,112.76,115.93,0.315,0.305,0.039,0.054,,0.026,0.174,0.205
75,135.205,134.575,1.230,1.220,97.56,98.36,64.23,64.34,35.77,35.66,11.39,9.55,58.86,61.78,29.75,28.66,29.72,29.72,1.064,1.160,0.945,0.980,354.8,346.3,3.290,3.400,-2.1,-0.6,24.91,29.08,-69.63,-65.95,0.049,-0.023,112.53,108.29,0.298,0.316,0.032,0.056,,0.030,0.177,0.215
76,136.425,135.820,1.220,1.245,98.36,96.39,64.75,65.06,35.25,34.94,10.13,14.20,60.76,58.64,29.11,27.16,27.67,27.67,1.164,1.085,0.973,0.985,406.7,377.6,3.612,3.373,-1.6,-0.1,29.05,29.73,-73.38,-64.51,0.047,-0.043,108.95,117.29,0.318,0.315,0.042,0.064,,0.043,0.196,0.231
77,137.710,137.085,1.285,1.265,93.39,94.86,66.54,61.66,33.46,38.34,13.45,9.62,59.06,60.90,27.49,29.49,30.36,30.36,1.110,1.109,0.905,0.863,386.1,340.5,3.411,2.991,2.7,-0.9,29.01,31.94,-72.29,-64.69,0.026,-0.040,110.40,111.80,0.320,0.299,0.046,0.044,0.009,0.013,0.198,0.213
78,138.925,138.320,1.215,1.235,98.77,97.17,65.02,65.18,34.98,34.82,12.66,12.42,58.86,58.39,28.48,29.19,24.60,24.60,1.069,1.097,0.943,0.999,370.5,373.3,3.361,3.265,-0.5,1.9,26.04,26.91,-71.29,-69.58,0.042,-0.022,110.55,109.05,0.310,0.304,0.038,0.039,0.003,0.012,0.184,0.200
79,140.180,139.560,1.255,1.240,95.62,96.77,66.14,58.87,33.86,41.13,9.64,10.96,61.45,66.44,28.92,22.60,31.05,31.05,1.106,1.075,0.906,0.913,368.7,333.8,3.399,,1.3,-1.9,26.96,28.91,-71.18,-62.30,0.030,-0.069,109.44,113.41,0.319,0.293,0.047,,0.000,,0.177,
80,141.445,140.800,1.265,1.240,94.86,96.77,64.43,65.32,35.57,34.68,11.04,12.96,59.51,58.02,29.45,29.01,30.28,30.28,1.204,1.135,1.006,0.939,348.6,356.2,3.434,3.353,2.7,1.1,25.99,29.05,-68.01,-69.74,0.046,0.024,106.25,108.40,0.309,0.323,0.045,0.053,0.009,0.016,0.186,0.197
81,142.675,142.055,1.230,1.255,97.56,95.62,64.23,66.14,35.77,33.86,10.13,12.05,60.76,59.64,29.11,28.31,29.60,29.60,1.192,1.093,0.950,0.981,386.8,353.0,3.570,3.278,-3.8,1.9,27.28,27.71,-73.36,-68.66,0.036,-0.039,107.91,111.44,0.323,0.302,0.048,0.038,0.002,0.013,0.188,0.194
82,143.930,143.305,1.255,1.250,95.62,96.00,66.14,64.80,33.86,35.20,10.84,9.26,59.04,62.96,30.12,27.78,28.69,28.69,1.079,1.029,0.936,0.833,371.9,352.3,3.374,3.217,-0.3,0.0,25.16,28.24,-71.00,-64.67,0.025,-0.038,110.24,117.06,0.335,0.308,0.063,0.056,0.015,0.024,0.175,0.204
83,145.185,144.560,1.255,1.255,95.62,95.62,65.74,62.55,34.26,37.45,9.09,10.83,62.42,63.06,28.48,26.11,30.28,30.28,1.091,1.181,0.868,0.984,370.0,337.0,3.357,3.360,-0.6,-3.2,27.84,26.70,-71.18,-62.28,-0.009,0.032,109.03,109.86,0.309,0.268,0.038,0.026,0.008,,0.194,0.177
84,146.470,145.815,1.285,1.255,93.39,95.62,66.15,64.54,33.85,35.46,10.59,11.73,60.59,61.73,28.82,26.54,31.50,31.50,1.101,1.138,0.920,0.945,359.3,352.3,3.346,3.259,3.3,-0.5,28.08,28.21,-67.74,-66.62,0.037,0.010,108.77,108.92,0.302,0.327,0.038,0.071,0.002,0.039,0.181,0.230
85,147.730,147.085,1.260,1.270,95.24,94.49,63.89,65.75,36.11,34.25,9.32,10.18,63.35,62.28,27.33,27.54,30.31,30.31,1.098,1.116,0.904,0.957,346.7,373.6,3.248,3.469,0.9,5.0,24.69,27.09,-67.86,-68.15,0.016,-0.017,108.44,110.60,0.306,0.329,0.045,0.068,0.008,0.022,0.171,0.192
86,148.985,148.355,1.255,1.270,95.62,94.49,64.14,66.14,35.86,33.86,10.56,9.52,60.25,63.10,29.19,27.38,28.28,28.28,1.204,0.953,0.988,0.820,350.7,346.5,3.528,3.160,-0.6,0.2,27.65,32.49,-71.73,-64.41,0.028,0.061,110.23,128.88,0.320,0.323,0.047,0.065,0.006,0.031,0.185,0.217
87,150.195,149.575,1.210,1.220,99.17,98.36,64.88,65.16,35.12,34.84,10.19,11.95,60.51,61.01,29.30,27.04,30.24,30.24,1.206,1.123,0.996,1.012,375.0,368.7,3.520,3.414,0.8,1.2,27.81,30.99,-68.78,-62.78,0.031,-0.078,106.34,112.12,0.319,0.268,0.052,0.017,0.018,,0.205,0.192
88,151.450,150.815,1.255,1.240,95.62,96.77,66.14,64.52,33.86,35.48,12.05,14.38,57.83,58.12,30.12,27.50,30.68,30.68,1.159,1.192,0.985,0.959,377.7,357.5,3.495,3.400,1.0,-2.2,27.45,29.27,-70.79,-64.36,0.032,-0.023,106.15,107.71,0.326,0.275,0.053,0.020,0.018,,0.193,0.175
89,152.680,152.070,1.230,1.255,97.56,95.62,66.67,64.54,33.33,35.46,9.76,13.58,60.37,60.49,29.88,25.93,31.05,31.05,1.148,1.098,0.942,0.910,392.8,371.5,3.528,3.392,-4.3,-0.0,23.41,29.30,-71.63,-64.67,0.026,-0.036,106.89,116.55,0.321,0.315,0.050,0.064,0.009,0.042,0.168,0.247
90,153.925,153.310,1.245,1.240,96.39,96.77,66.27,64.11,33.73,35.89,10.30,11.32,59.39,62.26,30.30,26.42,29.67,29.67,1.079,0.968,0.886,0.884,373.0,344.2,3.375,2.938,1.8,0.6,26.71,26.21,-68.64,-60.49,-0.011,0.043,110.40,114.78,0.330,0.267,0.064,0.026,0.028,,0.192,0.171
91,155.170,154.540,1.245,1.230,96.39,97.56,65.46,63.82,34.54,36.18,10.43,10.83,60.74,63.06,28.83,26.11,30.95,30.95,1.135,1.103,0.935,0.887,387.5,366.3,3.437,3.257,3.6,-1.1,29.98,29.09,-69.91,-63.71,0.024,-0.021,107.54,111.03,0.307,0.273,0.037,0.025,0.004,,0.205,0.208
92,156.425,155.800,1.255,1.260,95.62,95.24,65.74,65.08,34.26,34.92,12.73,12.20,58.79,61.59,28.48,26.22,30.16,30.16,1.114,1.092,0.972,1.023,388.5,355.3,3.403,3.255,-2.2,2.1,28.66,27.48,-70.46,-67.72,0.053,-0.015,110.38,108.06,0.315,0.311,0.043,0.047,0.006,0.017,0.185,0.194
