Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
61,104.945,104.400,1.125,1.115,106.67,107.62,62.22,60.54,37.78,39.46,10.00,7.41,58.57,58.52,31.43,34.07,25.89,25.89,1.147,1.107,1.053,1.002,361.6,332.2,3.623,3.408,2.5,-1.3,23.44,17.59,-64.02,-71.90,0.061,-0.070,105.52,107.61,0.263,0.255,0.060,0.046,0.025,0.025,0.126,0.116
62,106.050,105.520,1.105,1.120,108.60,107.14,62.90,63.84,37.10,36.16,10.79,9.09,60.43,54.55,28.78,36.36,25.11,25.11,0.997,1.003,0.933,0.947,368.5,414.2,3.404,3.273,0.9,-1.7,22.47,16.95,-64.11,-78.71,0.042,-0.053,109.57,106.80,0.263,0.284,0.066,0.058,0.038,0.036,0.135,0.114
63,107.175,106.635,1.125,1.115,106.67,107.62,62.22,61.88,37.78,38.12,11.43,7.25,57.14,60.14,31.43,32.61,23.08,23.08,1.089,0.992,0.990,0.956,359.9,341.5,3.475,3.283,-0.1,2.4,22.11,15.95,-62.91,-69.40,0.052,-0.057,106.93,110.53,0.260,0.267,0.060,0.062,0.027,0.022,0.127,0.096
64,108.295,107.740,1.120,1.105,107.14,108.60,62.50,61.54,37.50,38.46,8.57,8.09,60.00,57.35,31.43,34.56,25.33,25.33,1.089,1.080,0.967,0.981,353.6,350.1,3.476,3.363,0.3,2.6,21.78,19.43,-62.07,-71.79,0.062,-0.080,105.82,107.19,0.269,0.260,0.070,0.055,0.029,0.033,0.119,0.116
65,109.445,108.885,1.150,1.145,104.35,104.80,61.74,62.01,38.26,37.99,9.15,8.45,61.27,59.15,29.58,32.39,23.68,23.68,0.968,1.016,0.881,0.918,358.4,334.6,3.262,3.227,2.7,-4.7,21.23,17.53,-64.78,-67.52,0.058,-0.059,110.43,108.57,0.253,0.264,0.050,0.066,0.024,0.038,0.126,0.115
66,110.550,110.025,1.105,1.140,108.60,105.26,63.80,62.28,36.20,37.72,8.51,7.04,61.70,61.27,29.79,31.69,24.77,24.77,1.069,1.020,0.970,0.916,396.5,325.4,3.589,3.222,-3.4,2.7,20.57,15.80,-66.10,-66.02,0.040,-0.062,105.14,107.18,0.243,0.276,0.038,0.079,0.011,0.047,0.112,0.111
67,111.650,111.135,1.100,1.110,109.09,108.11,63.18,60.81,36.82,39.19,9.35,7.41,61.87,62.22,28.78,30.37,23.74,23.74,1.050,1.087,0.991,1.005,377.5,347.6,3.593,3.430,-2.0,0.6,20.88,17.40,-66.30,-63.55,0.054,-0.062,108.37,106.25,0.275,0.257,0.069,0.062,0.032,0.026,0.118,0.114
68,112.775,112.230,1.125,1.095,106.67,109.59,62.67,60.73,37.33,39.27,10.64,7.52,56.74,57.14,32.62,35.34,25.66,25.66,0.992,1.083,0.921,0.974,366.3,336.7,3.397,3.412,4.2,0.9,20.60,18.53,-62.45,-67.71,0.054,-0.064,108.65,107.18,0.263,0.281,0.065,0.077,0.030,0.048,0.124,0.121
69,113.905,113.360,1.130,1.130,106.19,106.19,62.39,62.83,37.61,37.17,10.64,7.75,60.28,59.15,29.08,33.10,24.45,24.45,1.051,1.028,0.935,0.956,348.1,352.2,3.290,3.232,0.6,-1.9,21.36,17.17,-62.39,-69.71,0.058,-0.075,107.09,106.42,0.256,0.254,0.057,0.052,0.020,0.034,0.113,0.111
70,115.055,114.505,1.150,1.145,104.35,104.80,63.48,61.57,36.52,38.43,10.27,7.09,58.90,60.28,30.82,32.62,22.65,22.65,1.115,1.173,0.987,1.035,358.1,351.7,3.537,3.394,1.6,0.1,23.02,18.42,-63.44,-70.72,0.070,-0.061,108.59,106.10,0.261,0.289,0.061,0.083,0.032,0.051,0.142,0.132
